#interaction	gene1	Egene2	dir	sign	biogrid	pubmed
hiv_ppi	E155871	E9126	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E8520	0	0	biogrid	pmids:17609381
hiv_ppi	E140739	E155459	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E4670	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E255626	0	0	biogrid	pmids:11080476
hiv_ppi	E155348	E2033	0	0	biogrid	pmids:16096645
hiv_ppi	E155871	E5981	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5982	0	0	biogrid	pmids:19454010
hiv_ppi	E1025	E155871	0	0	biogrid	pmids:10082552:16687403
hiv_ppi	E155871	E4331	0	0	biogrid	pmids:10082552
hiv_ppi	E155871	E55929	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E7316	0	0	biogrid	pmids:19327355:17609272:16434471:11087859:9525617:19246649:11112487
hiv_ppi	E156110	E7186	0	0	biogrid	pmids:21886773
hiv_ppi	E155807	E8453	0	0	biogrid	pmids:17609381
hiv_ppi	E155030	E60	0	0	biogrid	pmids:16101678
hiv_ppi	E155871	E4176	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E8451	0	0	biogrid	pmids:17609381:17630831:16103149:17620334:17360488:20089662
hiv_ppi	E155871	E4175	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E4172	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E221613	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E57634	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E23583	0	0	biogrid	pmids:16103149
hiv_ppi	E155871	E9782	0	0	biogrid	pmids:19454010
hiv_ppi	E155945	E9146	0	0	biogrid	pmids:21304933
hiv_ppi	E155459	E57379	0	0	biogrid	pmids:16580072
hiv_ppi	E155871	E8019	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E4193	0	0	biogrid	pmids:12883554
hiv_ppi	E155871	E23481	0	0	biogrid	pmids:19454010
hiv_ppi	E10919	E155871	0	0	biogrid	pmids:18498648
hiv_ppi	E155871	E4292	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E23560	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E4297	0	0	biogrid	pmids:19454010
hiv_ppi	E11143	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E23644	0	0	biogrid	pmids:19454010
hiv_ppi	E155459	E155459	0	0	biogrid	pmids:18562529:22190037:22369580:20463065
hiv_ppi	E155871	E22907	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E164	0	0	biogrid	pmids:17538020
hiv_ppi	E155459	E6303	0	0	biogrid	pmids:12600646
hiv_ppi	E155348	E155348	0	0	biogrid	pmids:7542140:21454548
hiv_ppi	E155459	E4193	0	0	biogrid	pmids:19128510
hiv_ppi	E155871	E5501	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E51191	0	0	biogrid	pmids:22093708
hiv_ppi	E155871	E28969	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E9978	0	0	biogrid	pmids:17360488
hiv_ppi	E155030	E156110	0	0	biogrid	pmids:15137387
hiv_ppi	E155871	E9933	0	0	biogrid	pmids:19454010
hiv_ppi	E155348	E2547	0	0	biogrid	pmids:21454661
hiv_ppi	E155871	E23411	0	0	biogrid	pmids:15719057
hiv_ppi	E155871	E23410	0	0	biogrid	pmids:15719057
hiv_ppi	E155807	E64393	0	0	biogrid	pmids:17609381
hiv_ppi	E155871	E7514	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E2959	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E892	0	0	biogrid	pmids:9121429
hiv_ppi	E155871	E23020	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E6749	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5001	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5000	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5434	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E5435	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E5436	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E5437	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E5430	0	0	biogrid	pmids:11080476:19454010:9121429
hiv_ppi	E155871	E5431	0	0	biogrid	pmids:11080476:19454010
hiv_ppi	E155871	E5432	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E5433	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E4927	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E4926	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5438	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E5439	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E3659	0	0	biogrid	pmids:12021315
hiv_ppi	E155871	E51143	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E861	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E8341	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E8340	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E4790	0	0	biogrid	pmids:7690421
hiv_ppi	E155871	E8342	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E8345	0	0	biogrid	pmids:11080476
hiv_ppi	E156110	E5692	0	0	biogrid	pmids:9344905
hiv_ppi	E155871	E8349	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E8348	0	0	biogrid	pmids:11080476
hiv_ppi	E103	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E7343	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E7468	0	0	biogrid	pmids:19454010
hiv_ppi	E155459	E8878	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E9112	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E6598	0	0	biogrid	pmids:19454010:16687403:16889668
hiv_ppi	E1315	E156110	0	0	biogrid	pmids:15202998
hiv_ppi	E155348	E156110	0	0	biogrid	pmids:15137387
hiv_ppi	E155871	E6596	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E6597	0	0	biogrid	pmids:19454010:16893449:16687403
hiv_ppi	E156110	E919	0	0	biogrid	pmids:20179761
hiv_ppi	E10989	E155871	0	0	biogrid	pmids:9184228
hiv_ppi	E155871	E2033	0	0	biogrid	pmids:11080476:9811832
hiv_ppi	E155871	E94239	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E8290	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E3065	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E57062	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E8454	0	0	biogrid	pmids:16103149
hiv_ppi	E155807	E292	0	0	biogrid	pmids:17609381
hiv_ppi	E155871	E22954	0	0	biogrid	pmids:7778269
hiv_ppi	E10399	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E3837	0	0	biogrid	pmids:17609381
hiv_ppi	E155459	E155945	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E23244	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E26354	0	0	biogrid	pmids:19454010
hiv_ppi	E100034701	E155871	0	0	biogrid	pmids:9222511
hiv_ppi	E10320	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E58	0	0	biogrid	pmids:9841925
hiv_ppi	E155871	E708	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E23450	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E84450	0	0	biogrid	pmids:19454010
hiv_ppi	E155459	E8841	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E23512	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E84991	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5048	0	0	biogrid	pmids:15698475
hiv_ppi	E156110	E2534	0	0	biogrid	pmids:9778343:16374509:9351809:8681387
hiv_ppi	E155945	E9730	0	0	biogrid	pmids:22190037
hiv_ppi	E155030	E1660	0	0	biogrid	pmids:16527808
hiv_ppi	E155871	E6667	0	0	biogrid	pmids:7690421:9121429
hiv_ppi	E155348	E56852	0	0	biogrid	pmids:12016221
hiv_ppi	E155908	E155908	0	0	biogrid	pmids:20179761
hiv_ppi	E155348	E596	0	0	biogrid	pmids:8790371
