#interaction	Egene1	Egene2	dir	sign	biogrid	pubmed
Ubiquitination	E7332	E7337	1	0	biogrid	pmids:17433363:11431533:19364824:20351251:19899154:20589759:19204938:9688277:19591933:22350887:10558980:10373495:9575161:9990509:17603074:8576257
Phosphorylation	E5295	E867	1	0	biogrid	pmids:15556646:10918571:8896416:9414268:15107835:10358153:10620516:11418612:8702998:8621719:11944898:9918857:9259313:8695807:9541596:16135792:16289966:8995243:9461587:21203488:11087752:14530346:19861161:7642581:11030146:17237826:10025673:19190244:8612729:19380743:18374639:9890943:8941725:11157475:16219545:9092538:11042121:9988765:7791764:9174058:11994282
Phosphorylation	E29110	E3661	1	0	biogrid	pmids:18636086:22072751:21903422:19656901:23028469:22388039:16394098:22079989:17599067
Phosphorylation	E120892	E6416	1	0	biogrid	pmids:19302196
Ubiquitination	E10273	E1080	1	0	biogrid	pmids:19098309:15611333:11146634:21898230:19056735
Deubiquitination	E7375	E6885	1	0	biogrid	pmids:21331078
Phosphorylation	E1457	E994	1	0	biogrid	pmids:12527891
Phosphorylation	E23678	E83737	1	0	biogrid	pmids:16888620
Ubiquitination	E329	E4084	1	0	biogrid	pmids:18082613
Acetylation	E23522	E860	1	0	biogrid	pmids:11965546
Acetylation	E2033	E7528	1	0	biogrid	pmids:17510411:11486036:18542060:7758944:19279113
Phosphorylation	E5599	E83737	1	0	biogrid	pmids:16446428
Phosphorylation	E9641	E4792	1	0	biogrid	pmids:20449947
Ubiquitination	E7428	E1856	1	0	biogrid	pmids:20639871
Ubiquitination	E7320	E1027	1	0	biogrid	pmids:19123975
Phosphorylation	E545	E5976	1	0	biogrid	pmids:16488880
Acetylation	E57658	E8350	1	0	biogrid	pmids:16717280
Acetylation	E57658	E8359	1	0	biogrid	pmids:16717280
Acetylation	E1387	E10657	1	0	biogrid	pmids:15021911
Phosphorylation	E2932	E2997	1	0	biogrid	pmids:21985244
Ubiquitination	E51433	E9232	1	0	biogrid	pmids:20080579:22193957
Phosphorylation	E8536	E10645	1	0	biogrid	pmids:10187789
Sumoylation	E6612	E467	1	0	biogrid	pmids:22991139
Phosphorylation	E5594	E4261	1	0	biogrid	pmids:18245089
Phosphorylation	E1022	E367	1	0	biogrid	pmids:21157430:10734072
Phosphorylation	E5566	E9322	1	0	biogrid	pmids:15047863
Deacetylation	E23411	E4683	1	0	biogrid	pmids:17612497
Phosphorylation	E5595	E2002	1	0	biogrid	pmids:20371703
Phosphorylation	E983	E9113	1	0	biogrid	pmids:12372621
Phosphorylation	E1432	E7024	1	0	biogrid	pmids:15857981
Methylation	E23463	E5880	1	0	biogrid	pmids:9614111
Ubiquitination	E64750	E860	1	0	biogrid	pmids:21402695
Phosphorylation	E54822	E4155	1	0	biogrid	pmids:14594813
Ubiquitination	E5071	E2203	1	0	biogrid	pmids:21209200
Ubiquitination	E9025	E7314	1	0	biogrid	pmids:22266820
Deacetylation	E3066	E4261	1	0	biogrid	pmids:19041327:12697811:17991736
Phosphorylation	E23049	E5976	1	0	biogrid	pmids:18256688:19417104:11544179
Ubiquitination	E23327	E6156	1	0	biogrid	pmids:19953087
Methylation	E10419	E6829	1	0	biogrid	pmids:12718890
Ubiquitination	E5710	E2060	1	0	biogrid	pmids:19240029
Phosphorylation	E1111	E63967	1	0	biogrid	pmids:12766152:23109433:16963448
Ubiquitination	E10210	E4824	1	0	biogrid	pmids:18077445
Ubiquitination	E246330	E7189	1	0	biogrid	pmids:23042151:15917247:18326498:12874243
Phosphorylation	E207	E1147	1	0	biogrid	pmids:10485710
Phosphorylation	E11040	E572	1	0	biogrid	pmids:12954615
Phosphorylation	E983	E3009	1	0	biogrid	pmids:16205633:18560763:11980914
Phosphorylation	E983	E3005	1	0	biogrid	pmids:15147269:12190313:8034666
Phosphorylation	E983	E3007	1	0	biogrid	pmids:21131960
Phosphorylation	E4792	E1147	1	0	biogrid	pmids:10094049
Ubiquitination	E23327	E2287	1	0	biogrid	pmids:19953087
Phosphorylation	E1969	E1969	1	0	biogrid	pmids:18797457
Nedd(Rub1)ylation	E9039	E9040	1	0	biogrid	pmids:17353931:15361859:18652489:15694336
Phosphorylation	E5580	E6774	1	0	biogrid	pmids:10446219
Phosphorylation	E5578	E23586	1	0	biogrid	pmids:22114345
Phosphorylation	E5058	E5894	1	0	biogrid	pmids:11733498
Phosphorylation	E1432	E5609	1	0	biogrid	pmids:9207092
Methylation	E3276	E2521	1	0	biogrid	pmids:11850402:12183049
Phosphorylation	E6195	E2099	1	0	biogrid	pmids:9528769
Ubiquitination	E7317	E7325	1	0	biogrid	pmids:22069333
Ubiquitination	E7317	E7321	1	0	biogrid	pmids:22069333
Ubiquitination	E7317	E7323	1	0	biogrid	pmids:22069333
Ubiquitination	E7317	E7322	1	0	biogrid	pmids:22069333
Methylation	E100310785	E8350	1	0	biogrid	pmids:12453419
Phosphorylation	E5591	E7520	1	0	biogrid	pmids:22404984:9312071:10446239:21679440:15758953:12393188:10750018:15520013
Methylation	E58508	E126961	1	0	biogrid	pmids:22266653
Phosphorylation	E1017	E1027	1	0	biogrid	pmids:12417722:10393546:12800980:16782892:15355997:9311993:8978686:17671428:12529437:9218599:18615582:15647383:19631451:9192873:18285702:15619620:9380407:9632134:12972555:9724724:10585280:15557281:11940657:10198259:9658399:18850315
Phosphorylation	E1017	E1026	1	0	biogrid	pmids:12417722:12800980:13678583:12949733:11302688:20102411:10918595:9632134:9464540:9218599:15647383:12383116:20587660:11132966:16765349:12839982:10878006:11477082:9380407:10874474:9858587:8242751:15557281:12361598:9658399:18850315
Phosphorylation	E1017	E1022	1	0	biogrid	pmids:8647086
Phosphorylation	E6885	E3551	1	0	biogrid	pmids:20932476:18456659
Ubiquitination	E81847	E2547	1	0	biogrid	pmids:21825151
Sumoylation	E7341	E79595	1	0	biogrid	pmids:15561718
Ubiquitination	E7324	E4734	1	0	biogrid	pmids:9990509
Phosphorylation	E1457	E1447	1	0	biogrid	pmids:7790358
Phosphorylation	E1457	E1446	1	0	biogrid	pmids:7790358
Phosphorylation	E1025	E6829	1	0	biogrid	pmids:10958691
Ubiquitination	E8451	E8451	1	0	biogrid	pmids:17609381:21145461
