#interaction	gene1	gene2	dir	sign	pubmed
hiv_human	E155971	E29927	0	0	pmids:22190034
hiv_human	E155971	E3311	0	0	pmids:22190034
hiv_human	E155871	E4299	0	0	pmids:22190034
hiv_human	E155871	E4298	0	0	pmids:22190034
hiv_human	E155348	E409	0	0	pmids:22190034
hiv_human	E155945	E9702	0	0	pmids:22190034
hiv_human	E155945	E8506	0	0	pmids:22190034
hiv_human	E155030	E54555	0	0	pmids:22190034
hiv_human	E155971	E81567	0	0	pmids:22190034
hiv_human	E10005	E156110	0	0	pmids:22190034
hiv_human	E155348	E5351	0	0	pmids:22190034
hiv_human	E155459	E26993	0	0	pmids:22190034
hiv_human	E155971	E8350	0	0	pmids:22190034
hiv_human	E155807	E23333	0	0	pmids:22190034
hiv_human	E10808	E155971	0	0	pmids:22190034
hiv_human	E155971	E5589	0	0	pmids:22190034
hiv_human	E155030	E253943	0	0	pmids:22190034
hiv_human	E155348	E23352	0	0	pmids:22190034
hiv_human	E155971	E3811	0	0	pmids:22190034
hiv_human	E155871	E23411	0	0	pmids:22190034
hiv_human	E155348	E5965	0	0	pmids:22190034
hiv_human	E155807	E9782	0	0	pmids:22190034
hiv_human	E155971	E93380	0	0	pmids:22190034
hiv_human	E155348	E51647	0	0	pmids:22190034
hiv_human	E155348	E1796	0	0	pmids:22190034
hiv_human	E148867	E155348	0	0	pmids:22190034
hiv_human	E1327	E155971	0	0	pmids:22190034
hiv_human	E10625	E155030	0	0	pmids:22190034
hiv_human	E10534	E155348	0	0	pmids:22190034
hiv_human	E155971	E22794	0	0	pmids:22190034
hiv_human	E155971	E5305	0	0	pmids:22190034
hiv_human	E155971	E871	0	0	pmids:22190034
hiv_human	E155971	E51614	0	0	pmids:22190034
hiv_human	E155807	E51138	0	0	pmids:22190034
hiv_human	E155945	E4478	0	0	pmids:22190034
hiv_human	E155971	E56886	0	0	pmids:22190034
hiv_human	E155945	E5529	0	0	pmids:22190034
hiv_human	E155459	E8878	0	0	pmids:22190034
hiv_human	E10857	E155971	0	0	pmids:22190034
hiv_human	E155971	E51466	0	0	pmids:22190034
hiv_human	E155971	E3105	0	0	pmids:22190034
hiv_human	E155971	E3107	0	0	pmids:22190034
hiv_human	E155348	E1832	0	0	pmids:22190034
hiv_human	E155971	E23052	0	0	pmids:22190034
hiv_human	E155971	E60559	0	0	pmids:22190034
hiv_human	E155971	E351	0	0	pmids:22190034
hiv_human	E155945	E506	0	0	pmids:22190034
hiv_human	E1340	E155971	0	0	pmids:22190034
hiv_human	E155971	E23353	0	0	pmids:22190034
